属性	星级	编号	总编号	重点	宝可梦
水	3	6	300	768-0|319-0|693-0	768-0+30+32+1+39+41+20|767-0+23+25+1+32+34+80|319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|693-0+37+39+1+46+48+20|692-0+24+26+1+33+35+80
水	3	7	301	768-0|319-0|079-0	768-0+30+32+1+39+41+20|767-0+23+25+1+32+34+80|319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|079-0+24+26+1+33+35+100
水	3	8	302	768-0|693-0|079-0	768-0+30+32+1+39+41+20|767-0+23+25+1+32+34+80|693-0+37+39+1+46+48+20|692-0+24+26+1+33+35+80|079-0+24+26+1+33+35+100
水	4	1	303	009-0|516-0|689-0	009-0+41+43+1+50+52+20|008-0+36+38+1+45+47+80|516-0+37+39+1+46+48+20|515-0+35+37+1+44+46+80
水	4	2	304	160-0|689-0|121-0	160-0+40+42+1+49+51+20|159-0+36+38+1+45+47+80
水	4	3	305	658-0|121-0|516-0	658-0+41+43+1+50+52+20|657-0+36+38+1+45+47+80|121-0+39+41+1+48+50+20|120-0+37+39+1+46+48+80|516-0+37+39+1+46+48+20|515-0+35+37+1+44+46+80
水	4	4	306	080-0|199-0|134-0	080-0+41+43+1+50+52+20|079-0+37+39+1+46+48+80|199-0+41+43+1+50+52+20|079-0+37+39+1+46+48+80|134-0+36+38+1+45+47+20|133-0+35+37+1+44+46+80
水	4	5	307	689-0|130-0|516-0	130-0+37+39+1+46+48+20|129-0+35+37+1+44+46+80
水	4	6	308	260-0|121-0|689-0	260-0+41+43+1+50+52+20|259-0+36+38+1+45+47+80|121-0+39+41+1+48+50+20|120-0+37+39+1+46+48+80
水	4	7	309	931-0|516-0|121-0	931-0+38+40+1+47+49+30|952-0+38+40+1+47+49+33|952-2+38+40+1+47+49+33|952-1+38+40+1+47+49+33|516-0+37+39+1+46+48+20|515-0+35+37+1+44+46+80|121-0+39+41+1+48+50+20|120-0+37+39+1+46+48+80
水	4	8	310	931-0|689-0|516-0	931-0+38+40+1+47+49+30|952-0+38+40+1+47+49+33|952-2+38+40+1+47+49+33|952-1+38+40+1+47+49+33
水	4	9	311	931-0|199-0|130-0	931-0+38+40+1+47+49+30|952-0+38+40+1+47+49+33|952-2+38+40+1+47+49+33|952-1+38+40+1+47+49+33|199-0+41+43+1+50+52+20|079-0+37+39+1+46+48+80|130-0+37+39+1+46+48+20|129-0+35+37+1+44+46+80
水	4	10	312	931-0|080-0|134-0	931-0+38+40+1+47+49+30|952-0+38+40+1+47+49+33|952-2+38+40+1+47+49+33|952-1+38+40+1+47+49+33|080-0+41+43+1+50+52+20|079-0+37+39+1+46+48+80|134-0+36+38+1+45+47+20|133-0+35+37+1+44+46+80
水	5	1	313	260-0|009-0|658-0	260-0+54+56+1+63+65+20|258-0+50+52+1+59+61+80|009-0+54+56+1+63+65+20|007-0+50+52+1+59+61+80|658-0+54+56+1+63+65+20|656-0+50+52+1+59+61+80
草	2	1	314	406-0|511-0|001-0	406-0+15+17+1+24+26+100|511-0+17+19+1+26+28+100|001-0+16+18+1+25+27+100
草	2	2	315	069-0|511-0|152-0	069-0+17+19+1+26+28+100|511-0+17+19+1+26+28+100|152-0+16+18+1+25+27+100
草	2	3	316	406-0|672-0|650-0	406-0+15+17+1+24+26+100|672-0+20+22+1+29+31+100|650-0+16+18+1+25+27+100
草	2	4	317	938-0|511-0|672-0	938-0+17+19+1+26+28+100|511-0+17+19+1+26+28+100|672-0+20+22+1+29+31+100
草	2	5	318	938-0|511-0|406-0	938-0+17+19+1+26+28+100|511-0+17+19+1+26+28+100|406-0+15+17+1+24+26+100
草	2	6	319	938-0|672-0|069-0	938-0+17+19+1+26+28+100|672-0+20+22+1+29+31+100|069-0+17+19+1+26+28+100
草	2	7	320	590-0|511-0|672-0	590-0+21+23+1+30+32+100|511-0+17+19+1+26+28+100|672-0+20+22+1+29+31+100
草	2	8	321	590-0|406-0|672-0	590-0+21+23+1+30+32+100|406-0+15+17+1+24+26+100|672-0+20+22+1+29+31+100
草	2	9	322	590-0|511-0|069-0	590-0+21+23+1+30+32+100|511-0+17+19+1+26+28+100|069-0+17+19+1+26+28+100
草	2	10	323	252-0|406-0|069-0	252-0+16+18+1+25+27+100|406-0+15+17+1+24+26+100|069-0+17+19+1+26+28+100
草	3	1	324	070-0|673-0|315-0	070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80|673-0+32+34+1+41+43+20|672-0+23+25+1+32+34+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80
草	3	2	325	070-0|315-0|002-0	070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80|002-0+23+25+1+32+34+20|001-0+20+22+1+29+31+80
草	3	3	326	070-0|673-0|153-0	070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80|673-0+32+34+1+41+43+20|672-0+23+25+1+32+34+80|153-0+23+25+1+32+34+20|152-0+20+22+1+29+31+80
草	3	4	327	315-0|673-0|651-0	315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80|673-0+32+34+1+41+43+20|672-0+23+25+1+32+34+80|651-0+23+25+1+32+34+20|650-0+20+22+1+29+31+80
草	3	5	328	939-0|070-0|315-0	939-0+26+28+1+35+37+20|938-0+21+23+1+30+32+80|070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80
草	3	6	329	939-0|070-0|673-0	939-0+26+28+1+35+37+20|938-0+21+23+1+30+32+80|070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80|673-0+32+34+1+41+43+20|672-0+23+25+1+32+34+80
草	3	7	330	939-0|315-0|673-0	939-0+26+28+1+35+37+20|938-0+21+23+1+30+32+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80|673-0+32+34+1+41+43+20|672-0+23+25+1+32+34+80
草	3	8	331	253-0|315-0|673-0	253-0+23+25+1+32+34+20|252-0+20+22+1+29+31+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80|673-0+32+34+1+41+43+20|672-0+23+25+1+32+34+80
草	4	1	332	407-0|512-0|003-0	407-0+38+40+1+47+49+20|315-0+36+38+1+45+47+80|512-0+37+39+1+46+48+20|511-0+35+37+1+44+46+80|003-0+41+43+1+50+52+20|002-0+36+38+1+45+47+80
草	4	2	333	071-0|512-0|154-0	071-0+40+42+1+49+51+20|070-0+37+39+1+46+48+80|512-0+37+39+1+46+48+20|511-0+35+37+1+44+46+80|154-0+41+43+1+50+52+20|153-0+36+38+1+45+47+80
草	4	3	334	512-0|407-0|652-0	512-0+37+39+1+46+48+20|511-0+35+37+1+44+46+80|407-0+38+40+1+47+49+20|315-0+36+38+1+45+47+80|652-0+41+43+1+50+52+20|651-0+36+38+1+45+47+80
草	4	4	335	407-0|071-0|512-0	407-0+38+40+1+47+49+20|315-0+36+38+1+45+47+80|071-0+40+42+1+49+51+20|070-0+37+39+1+46+48+80|512-0+37+39+1+46+48+20|511-0+35+37+1+44+46+80
草	4	5	336	709-0|711-0|470-0	709-0+40+42+1+49+51+20|708-0+36+38+1+45+47+80|711-0+39+41+1+48+50+20|710-0+36+38+1+45+47+80|470-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80
草	4	6	337	591-0|407-0|470-0	591-0+42+44+1+51+53+20|590-0+37+39+1+46+48+80|407-0+38+40+1+47+49+20|315-0+36+38+1+45+47+80|470-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80
草	4	7	338	591-0|407-0|460-0	591-0+42+44+1+51+53+20|590-0+37+39+1+46+48+80|407-0+38+40+1+47+49+20|315-0+36+38+1+45+47+80|460-0+42+44+1+51+53+20|459-0+37+39+1+46+48+80
草	4	8	339	591-0|071-0|711-0	591-0+42+44+1+51+53+20|590-0+37+39+1+46+48+80|071-0+40+42+1+49+51+20|070-0+37+39+1+46+48+80|711-0+39+41+1+48+50+20|710-0+36+38+1+45+47+80
草	4	9	340	591-0|512-0|709-0	591-0+42+44+1+51+53+20|590-0+37+39+1+46+48+80|512-0+37+39+1+46+48+20|511-0+35+37+1+44+46+80|709-0+40+42+1+49+51+20|708-0+36+38+1+45+47+80
草	4	10	341	254-0|071-0|512-0	254-0+41+43+1+50+52+20|253-0+36+38+1+45+47+80|071-0+40+42+1+49+51+20|070-0+37+39+1+46+48+80|512-0+37+39+1+46+48+20|511-0+35+37+1+44+46+80
草	5	1	342	254-0|003-0|652-0	254-0+54+56+1+63+65+20|252-0+50+52+1+59+61+80|003-0+54+56+1+63+65+20|001-0+50+52+1+59+61+80|652-0+54+56+1+63+65+20|650-0+50+52+1+59+61+80
电	2	1	343	309-0|025-0|179-0	309-0+18+20+1+27+29+100|025-0+20+22+1+29+31+20|172-0+16+18+1+25+27+80|179-0+15+17+1+24+26+100
电	2	2	344	172-0|309-0|602-0	172-0+16+18+1+25+27+100|309-0+18+20+1+27+29+100|602-0+21+23+1+30+32+100
电	2	3	345	025-0|179-0|694-0	025-0+20+22+1+29+31+20|172-0+16+18+1+25+27+80|179-0+15+17+1+24+26+100|694-0+19+21+1+28+30+100
电	2	4	346	848-0|309-0|694-0	848-0+19+21+1+28+30+100|309-0+18+20+1+27+29+100|694-0+19+21+1+28+30+100
电	2	5	347	848-0|179-0|602-0	848-0+19+21+1+28+30+100|179-0+15+17+1+24+26+100|602-0+21+23+1+30+32+100
电	2	6	348	848-0|694-0|025-0	848-0+19+21+1+28+30+100|694-0+19+21+1+28+30+100|025-0+20+22+1+29+31+20|172-0+16+18+1+25+27+80
电	2	7	349	848-0|309-0|025-0	848-0+19+21+1+28+30+100|309-0+18+20+1+27+29+100|025-0+20+22+1+29+31+20|172-0+16+18+1+25+27+80
电	2	8	350	848-0|602-0|025-0	848-0+19+21+1+28+30+100|602-0+21+23+1+30+32+100|025-0+20+22+1+29+31+20|172-0+16+18+1+25+27+80
电	2	9	351	848-0|694-0|602-0	848-0+19+21+1+28+30+100|694-0+19+21+1+28+30+100|602-0+21+23+1+30+32+100
电	2	10	352	848-0|179-0|172-0	848-0+19+21+1+28+30+100|179-0+15+17+1+24+26+100|172-0+16+18+1+25+27+100
电	3	1	353	180-0|603-0|702-0	180-0+22+24+1+31+33+20|179-0+20+22+1+29+31+80|603-0+39+41+1+48+50+20|602-0+24+26+1+33+35+80|702-0+28+30+1+37+39+100
电	3	2	354	180-0|587-0|702-0	180-0+22+24+1+31+33+20|179-0+20+22+1+29+31+80|587-0+24+26+1+33+35+100|702-0+28+30+1+37+39+100
电	3	3	355	310-0|603-0|587-0	310-0+27+29+1+36+38+20|309-0+22+24+1+31+33+80|603-0+39+41+1+48+50+20|602-0+24+26+1+33+35+80|587-0+24+26+1+33+35+100
电	3	4	356	310-0|587-0|702-0	310-0+27+29+1+36+38+20|309-0+22+24+1+31+33+80|587-0+24+26+1+33+35+100|702-0+28+30+1+37+39+100
电	3	5	357	877-0|603-0|587-0	877-0+24+26+1+33+35+100|603-0+39+41+1+48+50+20|602-0+24+26+1+33+35+80|587-0+24+26+1+33+35+100
电	3	6	358	877-0|603-0|702-0	877-0+24+26+1+33+35+100|603-0+39+41+1+48+50+20|602-0+24+26+1+33+35+80|702-0+28+30+1+37+39+100
电	3	7	359	877-0|180-0|587-0	877-0+24+26+1+33+35+100|180-0+22+24+1+31+33+20|179-0+20+22+1+29+31+80|587-0+24+26+1+33+35+100
电	3	8	360	877-0|180-0|702-0	877-0+24+26+1+33+35+100|180-0+22+24+1+31+33+20|179-0+20+22+1+29+31+80|702-0+28+30+1+37+39+100
电	3	9	361	877-0|310-0|587-0	877-0+24+26+1+33+35+100|310-0+27+29+1+36+38+20|309-0+22+24+1+31+33+80|587-0+24+26+1+33+35+100
电	3	10	362	877-0|310-0|702-0	877-0+24+26+1+33+35+100|310-0+27+29+1+36+38+20|309-0+22+24+1+31+33+80|702-0+28+30+1+37+39+100
电	4	1	363	026-0|026-1|135-0	026-0+39+41+1+48+50+20|025-0+36+38+1+45+47+80|026-1+39+41+1+48+50+20|025-0+36+38+1+45+47+80|135-0+36+38+1+45+47+20|133-0+35+37+1+44+46+80
电	4	2	364	181-0|026-0|604-0	181-0+39+41+1+48+50+20|180-0+36+38+1+45+47+80|026-0+39+41+1+48+50+20|025-0+36+38+1+45+47+80|604-0+44+46+1+53+55+20|603-0+42+44+1+51+53+80
电	4	3	365	604-0|026-0|695-0	604-0+44+46+1+53+55+20|603-0+42+44+1+51+53+80|026-0+39+41+1+48+50+20|025-0+36+38+1+45+47+80|695-0+39+41+1+48+50+20|694-0+36+38+1+45+47+80
电	4	4	366	695-0|026-0|181-0	695-0+39+41+1+48+50+20|694-0+36+38+1+45+47+80|026-0+39+41+1+48+50+20|025-0+36+38+1+45+47+80|181-0+39+41+1+48+50+20|180-0+36+38+1+45+47+80
电	4	5	367	849-0|181-0|695-0	849-0+39+41+1+48+50+10|849-1+39+41+1+48+50+10|848-0+36+38+1+45+47+80|181-0+39+41+1+48+50+20|180-0+36+38+1+45+47+80|695-0+39+41+1+48+50+20|694-0+36+38+1+45+47+80
电	4	6	368	849-0|604-0|181-0	849-0+39+41+1+48+50+10|849-1+39+41+1+48+50+10|848-0+36+38+1+45+47+80|604-0+44+46+1+53+55+20|603-0+42+44+1+51+53+80|181-0+39+41+1+48+50+20|180-0+36+38+1+45+47+80
电	4	7	369	849-0|695-0|604-0	849-0+39+41+1+48+50+10|849-1+39+41+1+48+50+10|848-0+36+38+1+45+47+80|695-0+39+41+1+48+50+20|694-0+36+38+1+45+47+80|604-0+44+46+1+53+55+20|603-0+42+44+1+51+53+80
电	4	8	370	849-0|695-0|135-0	849-0+39+41+1+48+50+20|848-0+36+38+1+45+47+80|695-0+39+41+1+48+50+20|694-0+36+38+1+45+47+80|135-0+36+38+1+45+47+20|133-0+35+37+1+44+46+80
电	4	9	371	849-0|604-0|026-0	849-1+39+41+1+48+50+20|848-0+36+38+1+45+47+80|604-0+44+46+1+53+55+20|603-0+42+44+1+51+53+80|026-0+39+41+1+48+50+20|025-0+36+38+1+45+47+80
电	4	10	372	026-1|181-0|604-0	026-1+39+41+1+48+50+20|026-0+39+41+1+48+50+80|181-0+39+41+1+48+50+20|180-0+36+38+1+45+47+80|604-0+44+46+1+53+55+20|603-0+42+44+1+51+53+80
电	5	1	373	479-0	479-0+52+54+1+61+63+100|479-1+54+56+1+63+65+20|479-2+54+56+1+63+65+20|479-3+54+56+1+63+65+20|479-4+54+56+1+63+65+20|479-5+54+56+1+63+65+20
超能力	1	1	374	517-0|307-0|677-0	517-0+15+17+1+24+26+100|307-0+19+21+1+28+30+100|677-0+15+17+1+24+26+100
超能力	1	2	375	517-0|063-0|686-0	517-0+15+17+1+24+26+100|063-0+13+15+1+22+24+100|686-0+17+19+1+26+28+100
超能力	1	3	376	433-0|063-0|677-0	433-0+14+16+1+23+25+100|063-0+13+15+1+22+24+100|677-0+15+17+1+24+26+100
超能力	1	4	377	433-0|063-0|307-0	433-0+14+16+1+23+25+100|063-0+13+15+1+22+24+100|307-0+19+21+1+28+30+100
超能力	1	5	378	433-0|677-0|307-0	433-0+14+16+1+23+25+100|677-0+15+17+1+24+26+100|307-0+19+21+1+28+30+100
超能力	1	6	379	325-0|063-0|307-0	325-0+17+19+1+26+28+100|063-0+13+15+1+22+24+100|307-0+19+21+1+28+30+100
超能力	1	7	380	325-0|677-0|307-0	325-0+17+19+1+26+28+100|677-0+15+17+1+24+26+100|307-0+19+21+1+28+30+100
超能力	1	8	381	325-0|677-0|063-0	325-0+17+19+1+26+28+100|677-0+15+17+1+24+26+100|063-0+13+15+1+22+24+100
超能力	1	9	382	439-0|677-0|686-0	439-0+17+19+1+26+28+100|677-0+15+17+1+24+26+100|686-0+17+19+1+26+28+100
超能力	1	10	383	439-0|063-0|307-0	439-0+17+19+1+26+28+100|063-0+13+15+1+22+24+100|307-0+19+21+1+28+30+100
超能力	3	1	384	122-0|064-0|374-0	122-0+33+35+1+42+44+20|439-0+23+25+1+32+34+80|064-0+23+25+1+32+34+20|063-0+20+22+1+29+31+80|374-0+21+23+1+30+32+100
超能力	3	2	385	064-0|308-0|374-0	064-0+23+25+1+32+34+20|063-0+20+22+1+29+31+80|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80|374-0+21+23+1+30+32+100
超能力	3	3	386	281-0|079-1|374-0	281-0+24+26+1+33+35+20|280-0+21+23+1+30+32+80|079-1+24+26+1+33+35+100|374-0+21+23+1+30+32+100
超能力	3	4	387	122-0|281-0|374-0	122-0+33+35+1+42+44+20|439-0+23+25+1+32+34+80|281-0+24+26+1+33+35+20|280-0+21+23+1+30+32+80|374-0+21+23+1+30+32+100
超能力	3	5	388	358-0|308-0|374-0	358-0+24+26+1+33+35+20|433-0+21+23+1+30+32+80|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80|374-0+21+23+1+30+32+100
超能力	3	6	389	358-0|064-0|281-0	358-0+24+26+1+33+35+20|433-0+21+23+1+30+32+80|064-0+23+25+1+32+34+20|063-0+20+22+1+29+31+80|281-0+24+26+1+33+35+20|280-0+21+23+1+30+32+80
超能力	3	7	390	358-0|064-0|308-0	358-0+24+26+1+33+35+20|433-0+21+23+1+30+32+80|064-0+23+25+1+32+34+20|063-0+20+22+1+29+31+80|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80
超能力	3	8	391	358-0|281-0|308-0	358-0+24+26+1+33+35+20|433-0+21+23+1+30+32+80|281-0+24+26+1+33+35+20|280-0+21+23+1+30+32+80|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80
超能力	3	9	392	079-1|064-0|308-0	079-1+24+26+1+33+35+100|064-0+23+25+1+32+34+20|063-0+20+22+1+29+31+80|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80
超能力	3	10	393	079-1|281-0|308-0	079-1+24+26+1+33+35+100|281-0+24+26+1+33+35+20|280-0+21+23+1+30+32+80|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80
超能力	4	1	394	065-0|687-0|678-0	065-0+38+40+1+47+49+20|064-0+36+38+1+45+47+80|687-0+39+41+1+48+50+20|686-0+36+38+1+45+47+80|678-0+38+40+1+47+49+10|678-1+38+40+1+47+49+10|677-0+35+37+1+44+46+80
超能力	4	2	395	687-0|678-0|282-0	687-0+39+41+1+48+50+20|686-0+36+38+1+45+47+80|678-0+38+40+1+47+49+10|678-1+38+40+1+47+49+10|677-0+35+37+1+44+46+80|282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80
超能力	4	3	396	282-0|475-0|196-0	282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80|475-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80|196-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80
超能力	4	4	397	687-0|678-0|655-0	687-0+39+41+1+48+50+20|686-0+36+38+1+45+47+80|678-0+38+40+1+47+49+10|678-1+38+40+1+47+49+10|677-0+35+37+1+44+46+80|655-0+41+43+1+50+52+20|654-0+36+38+1+45+47+80
超能力	4	5	398	199-0|080-0|121-0	199-0+41+43+1+50+52+20|079-0+37+39+1+46+48+80|080-0+41+43+1+50+52+20|079-0+37+39+1+46+48+80|121-0+39+41+1+48+50+20|120-0+37+39+1+46+48+80
超能力	4	6	399	326-0|687-0|065-0	326-0+40+42+1+49+51+20|325-0+36+38+1+45+47+80|687-0+39+41+1+48+50+20|686-0+36+38+1+45+47+80|065-0+38+40+1+47+49+20|064-0+36+38+1+45+47+80
超能力	4	7	400	326-0|282-0|678-0	326-0+40+42+1+49+51+20|325-0+36+38+1+45+47+80|282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80|678-0+38+40+1+47+49+10|678-1+38+40+1+47+49+10|677-0+35+37+1+44+46+80
超能力	4	8	401	518-0|065-0|475-0	518-0+38+40+1+47+49+20|517-0+35+37+1+44+46+80|065-0+38+40+1+47+49+20|064-0+36+38+1+45+47+80|475-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80
超能力	4	9	402	518-0|678-0|282-0	518-0+38+40+1+47+49+20|517-0+35+37+1+44+46+80|678-0+38+40+1+47+49+10|678-1+38+40+1+47+49+10|677-0+35+37+1+44+46+80|282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80
超能力	4	10	403	518-0|196-0|121-0	518-0+38+40+1+47+49+20|517-0+35+37+1+44+46+80|196-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80|121-0+39+41+1+48+50+20|120-0+37+39+1+46+48+80
冰	3	1	404	225-0|361-0|712-0	225-0+25+27+1+34+36+100|361-0+25+27+1+34+36+100|712-0+24+26+1+33+35+100
冰	3	2	405	361-0|459-0|582-0	361-0+25+27+1+34+36+100|459-0+25+27+1+34+36+100|582-0+24+26+1+33+35+100
冰	3	3	406	459-0|583-0|712-0	459-0+25+27+1+34+36+100|583-0+35+37+1+44+46+20|582-0+24+26+1+33+35+80|712-0+24+26+1+33+35+100
冰	3	4	407	122-1|361-0|225-0	122-1+33+35+1+42+44+100|361-0+25+27+1+34+36+100|225-0+25+27+1+34+36+100
冰	3	5	408	122-1|459-0|583-0	122-1+33+35+1+42+44+100|459-0+25+27+1+34+36+100|583-0+35+37+1+44+46+20|582-0+24+26+1+33+35+80
冰	3	6	409	122-1|712-0|361-0	122-1+33+35+1+42+44+100|712-0+24+26+1+33+35+100|361-0+25+27+1+34+36+100
冰	3	7	410	122-1|459-0|225-0	122-1+33+35+1+42+44+100|459-0+25+27+1+34+36+100|225-0+25+27+1+34+36+100
冰	3	8	411	615-0|225-0|582-0	615-0+26+28+1+35+37+100|225-0+25+27+1+34+36+100|582-0+24+26+1+33+35+100
冰	3	9	412	615-0|361-0|712-0	615-0+26+28+1+35+37+100|361-0+25+27+1+34+36+100|712-0+24+26+1+33+35+100
冰	3	10	413	615-0|712-0|583-0	615-0+26+28+1+35+37+100|712-0+24+26+1+33+35+100|583-0+35+37+1+44+46+20|582-0+24+26+1+33+35+80
冰	4	1	414	460-0|584-0|713-0	460-0+42+44+1+51+53+20|459-0+37+39+1+46+48+80|584-0+47+49+1+56+58+20|583-0+41+43+1+50+52+80|713-0+41+43+1+50+52+20|712-0+37+39+1+46+48+80
冰	4	2	415	362-0|460-0|471-0	362-0+42+44+1+51+53+20|361-0+37+39+1+46+48+80|460-0+42+44+1+51+53+20|459-0+37+39+1+46+48+80|471-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80
冰	4	3	416	478-0|584-0|698-0	478-0+42+44+1+51+53+20|361-0+37+39+1+46+48+80|584-0+47+49+1+56+58+20|583-0+41+43+1+50+52+80|698-0+37+39+1+46+48+100
冰	4	4	417	362-0|478-0	362-0+42+44+1+51+53+50|361-0+37+39+1+46+48+80|478-0+42+44+1+51+53+50|361-0+37+39+1+46+48+80|478-0+42+44+1+51+53+50|362-0+42+44+1+51+53+50
冰	4	5	418	740-0|460-0|584-0	740-0+38+40+1+47+49+20|739-0+35+37+1+44+46+80|460-0+42+44+1+51+53+20|459-0+37+39+1+46+48+80|584-0+47+49+1+56+58+20|583-0+41+43+1+50+52+80
冰	4	6	419	740-0|584-0|713-0	740-0+38+40+1+47+49+20|739-0+35+37+1+44+46+80|584-0+47+49+1+56+58+20|583-0+41+43+1+50+52+80|713-0+41+43+1+50+52+20|712-0+37+39+1+46+48+80
冰	4	7	420	740-0|713-0|460-0	740-0+38+40+1+47+49+20|739-0+35+37+1+44+46+80|713-0+41+43+1+50+52+20|712-0+37+39+1+46+48+80|460-0+42+44+1+51+53+20|459-0+37+39+1+46+48+80
冰	4	8	421	866-0|362-0|698-0	866-0+42+44+1+51+53+20|122-1+40+42+1+49+51+80|362-0+42+44+1+51+53+20|361-0+37+39+1+46+48+80|698-0+37+39+1+46+48+100
冰	4	9	422	866-0|478-0|471-0	866-0+42+44+1+51+53+20|122-1+40+42+1+49+51+80|478-0+42+44+1+51+53+20|361-0+37+39+1+46+48+80|471-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80
冰	5	1	423	713-1|950-0|951-0	713-1+55+57+1+64+66+20|712-0+52+54+1+61+63+80|950-0+54+56+1+63+65+80|949-0+52+54+1+61+63+80|951-0+57+59+1+66+68+20|950-0+54+56+1+63+65+80
龙	3	1	424	147-0|371-0|443-0	147-0+23+25+1+32+34+100|371-0+23+25+1+32+34+100|443-0+22+24+1+31+33+100
龙	3	2	425	147-0|371-0|704-0	147-0+23+25+1+32+34+100|371-0+23+25+1+32+34+100|704-0+25+27+1+34+36+100
龙	3	3	426	147-0|443-0|704-0	147-0+23+25+1+32+34+100|443-0+22+24+1+31+33+100|704-0+25+27+1+34+36+100
龙	3	4	427	371-0|704-0|443-0	371-0+23+25+1+32+34+100|704-0+25+27+1+34+36+100|443-0+22+24+1+31+33+100
龙	3	5	428	147-0|371-0|334-0	147-0+23+25+1+32+34+100|371-0+23+25+1+32+34+100|334-0+35+37+1+44+46+20|333-0+24+26+1+33+35+80
龙	3	6	429	147-0|443-0|334-0	147-0+23+25+1+32+34+100|443-0+22+24+1+31+33+100|334-0+35+37+1+44+46+20|333-0+24+26+1+33+35+80
龙	3	7	430	147-0|704-0|334-0	147-0+23+25+1+32+34+100|704-0+25+27+1+34+36+100|334-0+35+37+1+44+46+20|333-0+24+26+1+33+35+80
龙	3	8	431	147-0|371-0|714-0	147-0+23+25+1+32+34+100|371-0+23+25+1+32+34+100|714-0+26+28+1+35+37+100
龙	3	9	432	147-0|443-0|714-0	147-0+23+25+1+32+34+100|443-0+22+24+1+31+33+100|714-0+26+28+1+35+37+100
龙	3	10	433	147-0|704-0|714-0	147-0+23+25+1+32+34+100|704-0+25+27+1+34+36+100|714-0+26+28+1+35+37+100
龙	4	1	434	148-0|372-0|444-0	148-0+39+41+1+48+50+20|147-0+36+38+1+45+47+80|372-0+39+41+1+48+50+20|371-0+36+38+1+45+47+80|444-0+38+40+1+47+49+20|443-0+35+37+1+44+46+80
龙	4	2	435	148-0|372-0|705-0	148-0+39+41+1+48+50+20|147-0+36+38+1+45+47+80|372-0+39+41+1+48+50+20|371-0+36+38+1+45+47+80|705-0+42+44+1+51+53+20|704-0+37+39+1+46+48+80
龙	4	3	436	148-0|444-0|705-0	148-0+39+41+1+48+50+20|147-0+36+38+1+45+47+80|444-0+38+40+1+47+49+20|443-0+35+37+1+44+46+80|705-0+42+44+1+51+53+20|704-0+37+39+1+46+48+80
龙	4	4	437	372-0|705-0|444-0	372-0+39+41+1+48+50+20|371-0+36+38+1+45+47+80|705-0+42+44+1+51+53+20|704-0+37+39+1+46+48+80|444-0+38+40+1+47+49+20|443-0+35+37+1+44+46+80
龙	4	5	438	715-0|691-0|780-0	715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80|780-0+40+42+1+49+51+100
龙	4	6	439	953-0|148-0|715-0	953-0+38+40+1+47+49+100|148-0+39+41+1+48+50+20|147-0+36+38+1+45+47+80|715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80
龙	4	7	440	953-0|372-0|780-0	953-0+38+40+1+47+49+100|372-0+39+41+1+48+50+20|371-0+36+38+1+45+47+80|780-0+40+42+1+49+51+100
龙	4	8	441	953-0|444-0|691-0	953-0+38+40+1+47+49+100|444-0+38+40+1+47+49+20|443-0+35+37+1+44+46+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80
龙	4	9	442	953-0|705-0|780-0	953-0+38+40+1+47+49+100|705-0+42+44+1+51+53+20|704-0+37+39+1+46+48+80|780-0+40+42+1+49+51+100
龙	4	10	443	953-0|691-0|715-0	953-0+38+40+1+47+49+100|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80|715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80
