编号	名称	地点	X	Y	头目	宝可梦列表
603	spn_outzone_a0101_459	翡绿１号街区	2769	2367		661-0+5+8
604	spn_outzone_a0101_700	翡绿１号街区	2495	2415		014-0+7+10
605	spn_outzone_a0101_E52	翡绿１号街区	2654	2385		092-0+14+17++++夜
606	spn_outzone_a0101_E53	翡绿１号街区	2624	2422		092-0+14+17++++夜
607	spn_outzone_a0101_L02	翡绿１号街区	2553	2379		704-0+35+39+20+10+95++雨|705-0+40+42+20+10+5++雨
608	spn_outzone_a0101_L50	翡绿１号街区	2722	2354		701-0+21+24+20+10+50|016-0+5+8+++50
609	spn_outzone_a0101_051	翡绿６号街区	3274	2800		013-0+5+8
610	spn_outzone_a0101_052	翡绿６号街区	3412	2658		013-0+5+8
611	spn_outzone_a0101_103	翡绿６号街区	3349	2726		016-0+5+8++++日
612	spn_outzone_a0101_104	翡绿６号街区	3661	2599		016-0+5+8
613	spn_outzone_a0101_250	翡绿６号街区	3695	2680		167-0+10+13
614	spn_outzone_a0101_251	翡绿６号街区	3545	2778		167-0+10+13
615	spn_outzone_a0101_252	翡绿６号街区	3607	2655		167-0+10+13
616	spn_outzone_a0101_253	翡绿６号街区	3592	2928		167-0+10+13
617	spn_outzone_a0101_400	翡绿６号街区	3525	3045		568-0+11+14
618	spn_outzone_a0101_401	翡绿６号街区	3542	3028		568-0+11+14
619	spn_outzone_a0101_451	翡绿６号街区	3722	2752		661-0+5+8
620	spn_outzone_a0101_452	翡绿６号街区	3699	2795		661-0+5+8
621	spn_outzone_a0101_456	翡绿６号街区	3501	2874		661-0+5+8
622	spn_outzone_a0101_461	翡绿６号街区	3285	2649		661-0+5+8
623	spn_outzone_a0101_506	翡绿６号街区	3247	2892		669-3+9+12
624	spn_outzone_a0101_950	翡绿６号街区	3220	2892		664-6+5+8
625	spn_outzone_a0101_951	翡绿６号街区	3519	2893		664-6+5+8
626	spn_outzone_a0101_B00	翡绿６号街区	3487	3099		659-0+11+14
627	spn_outzone_a0101_B01	翡绿６号街区	3506	3079		659-0+11+14
628	spn_outzone_a0101_K50	翡绿６号街区	3731	2705		147-0+28+29+20+10+95|148-0+30+32+20+10+5
629	spn_outzone_a0101_L00	翡绿６号街区	3410	2800		704-0+35+39+20+10+95++雨|705-0+40+42+20+10+5++雨
630	spn_outzone_a0101_L01	翡绿６号街区	3451	2668		704-0+35+39+20+10+95++雨|705-0+40+42+20+10+5++雨
631	spn_outzone_a0101_100	翡绿７号街区	3407	3256		016-0+5+8
632	spn_outzone_a0101_101	翡绿７号街区	3205	3416		016-0+5+8
633	spn_outzone_a0101_102	翡绿７号街区	3246	3348		016-0+3+6
634	spn_outzone_a0101_105	翡绿７号街区	3172	2995		016-0+5+8
635	spn_outzone_a0101_106	翡绿７号街区	3199	2976		016-0+5+8
636	spn_outzone_a0101_107	翡绿７号街区	3216	3371		016-0+3+6
637	spn_outzone_a0101_151	翡绿７号街区	3029	3249		069-0+9+12
638	spn_outzone_a0101_152	翡绿７号街区	2994	3272		069-0+9+12
639	spn_outzone_a0101_462	翡绿７号街区	3157	3492		661-0+5+8
640	spn_outzone_a0101_500	翡绿７号街区	3333	3321		669-0+3+6
641	spn_outzone_a0101_501	翡绿７号街区	3317	3189		669-0+9+12
642	spn_outzone_a0101_E50	翡绿７号街区	3055	3189		092-0+14+17++++夜
643	spn_outzone_a0101_E51	翡绿７号街区	3080	3165		092-0+14+17++++夜
644	spn_outzone_a0101_L51	翡绿７号街区	3026	3146		701-0+21+24+20+10+10|661-0+5+8+++90
645	spn_outzone_a0101_M00	翡绿７号街区	3147	3460		587-0+17+20
646	spn_outzone_a0101_200	库流水路	3118	2806		129-0+10+13
647	spn_outzone_a0101_201	库流水路	2981	3058		129-0+10+13
648	spn_outzone_a0101_300	翡绿３号街区	2855	3004		406-0+10+13
649	spn_outzone_a0101_301	翡绿３号街区	2951	2764		406-0+10+13
650	spn_outzone_a0101_302	翡绿３号街区	2938	2729		406-0+10+13
651	spn_outzone_a0101_356	翡绿３号街区	2934	2789		504-0+11+14
652	spn_outzone_a0101_357	翡绿３号街区	2938	2777	1	504-0+11+14+100+10
653	spn_outzone_a0101_453	翡绿３号街区	3101	2431		661-0+5+8
654	spn_outzone_a0101_454	翡绿３号街区	2916	2384		661-0+5+8
655	spn_outzone_a0101_460	翡绿３号街区	2805	2948		661-0+5+8
656	spn_outzone_a0101_463	翡绿３号街区	2923	2670		661-0+5+8
657	spn_outzone_a0101_464	翡绿３号街区	2911	2706		661-0+5+8
658	spn_outzone_a0101_504	翡绿３号街区	3034	2672		669-4+9+12
659	spn_outzone_a0101_505	翡绿３号街区	3055	2466		669-4+9+12
660	spn_outzone_a0101_550	翡绿３号街区	2903	2735		702-0+15+18+20+10+50|661-0+5+8+++50
661	spn_outzone_a0101_650	翡绿３号街区	2907	2526		173-0+10+13
662	spn_outzone_a0101_C00	翡绿３号街区	2961	2656		663-0+35+38
663	spn_outzone_a0101_D00	翡绿３号街区	2984	2673		670-4+19+22
664	spn_outzone_a0101_D01	翡绿３号街区	3097	2481		670-4+19+22
665	spn_outzone_a0101_P00	翡绿３号街区	2803	2573		333-0+15+17+++10++晴|016-0+5+8+++90++晴
666	spn_outzone_a0101_450	南侧大道	3679	2902		661-0+5+8
667	spn_outzone_a0101_457	翡绿区	3583	3319		661-0+5+8
668	spn_outzone_a0102_052	翡绿２号街区	2145	2473		013-0+5+7
669	spn_outzone_a0102_153	翡绿２号街区	2114	2430		069-0+9+11
670	spn_outzone_a0102_154	翡绿２号街区	2092	2420		069-0+9+11
671	spn_outzone_a0102_450	翡绿２号街区	2100	2736		661-0+5+7
672	spn_outzone_a0102_451	翡绿２号街区	2115	2745		661-0+5+7
673	spn_outzone_a0102_800	翡绿２号街区	2287	2564		017-0+18+20
674	spn_outzone_a0102_B50	翡绿２号街区	2106	2675		662-0+17+19
675	spn_outzone_a0102_O50	翡绿２号街区	2205	2798		246-0+20+22+20+10
676	spn_outzone_a0102_053	翡绿８号街区	2905	3550		013-0+5+7
677	spn_outzone_a0102_109	翡绿８号街区	2836	3683		016-0+3+5
678	spn_outzone_a0102_111	翡绿８号街区	3077	3541		016-0+5+7
679	spn_outzone_a0102_253	翡绿８号街区	2435	3517		167-0+10+12
680	spn_outzone_a0102_468	翡绿８号街区	2991	3443		661-0+5+7
681	spn_outzone_a0102_500	翡绿８号街区	2588	3592		669-0+4+6
682	spn_outzone_a0102_506	翡绿８号街区	2836	3232		669-0+9+11
683	spn_outzone_a0102_507	翡绿８号街区	2853	3219		669-0+9+11
684	spn_outzone_a0102_700	翡绿８号街区	2559	3555		014-0+7+7
685	spn_outzone_a0102_953	翡绿８号街区	2827	3284		664-6+5+7
686	spn_outzone_a0102_B00	翡绿８号街区	2498	3527		659-0+3+5
687	spn_outzone_a0102_B01	翡绿８号街区	2507	3586		659-0+3+5
688	spn_outzone_a0102_C50	翡绿８号街区	2790	3321		677-0+12+14
689	spn_outzone_a0102_C51	翡绿８号街区	2758	3311		677-0+12+14
690	spn_outzone_a0102_D00	翡绿８号街区	2857	3397		670-3+19+21
691	spn_outzone_a0102_D01	翡绿８号街区	2875	3423		670-3+19+21
692	spn_outzone_a0102_D50	翡绿８号街区	2664	3751		063-0+5+7
693	spn_outzone_a0102_K00	翡绿８号街区	2814	3435		447-0+15+17+20+10++日+晴
694	spn_outzone_a0102_L01	翡绿８号街区	2593	3605		704-0+35+39+20+10+95++雨|705-0+40+41+20+10+5++雨
695	spn_outzone_a0102_M00	翡绿８号街区	2883	3284		587-0+17+19
696	spn_outzone_a0102_sp1	翡绿８号街区	2809	3580		016-0+14+16+++11.11+日|025-0+15+17+++2.78+日|133-0+15+17+++2.78+日|427-0+16+18+++11.11+日|504-0+15+17+++5.56+日|511-0+16+18+++5.56+日|513-0+16+18+++5.56+日|515-0+16+18+++5.56+日|587-0+17+19+++11.11+日|659-0+15+17+++11.11+日|661-0+14+16+++11.11+日|677-0+15+17+++11.11+日|702-0+17+19+++5.56+日
697	spn_outzone_a0102_sp2	翡绿８号街区	2809	3580		016-0+14+16+++11.11+夜|025-0+15+17+++2.78+夜|133-0+15+17+++2.78+夜|427-0+16+18+++11.11+夜|504-0+15+17+++5.56+夜|511-0+16+18+++5.56+夜|513-0+16+18+++5.56+夜|515-0+16+18+++5.56+夜|587-0+17+19+++11.11+夜|659-0+15+17+++11.11+夜|661-0+14+16+++11.11+夜|677-0+15+17+++11.11+夜|702-0+17+19+++5.56+夜
698	spn_outzone_a0102_100	翡绿５号街区	2779	3237		016-0+5+7
699	spn_outzone_a0102_403	翡绿５号街区	2426	3237		568-0+11+13
700	spn_outzone_a0102_404	翡绿５号街区	2466	3216		568-0+11+13
701	spn_outzone_a0102_405	翡绿５号街区	2576	3145	1	568-0+11+13+100+10
702	spn_outzone_a0102_453	翡绿５号街区	2670	3273		661-0+5+7
703	spn_outzone_a0102_457	翡绿５号街区	2555	3297		661-0+5+7
704	spn_outzone_a0102_458	翡绿５号街区	2574	3266		661-0+5+7
705	spn_outzone_a0102_466	翡绿５号街区	2439	3399		661-0+5+7
706	spn_outzone_a0102_D02	翡绿５号街区	2430	3285		670-0+19+21+++60|670-1+19+21+++10|670-2+19+21+++10|670-3+19+21+++10|670-4+19+21+++10
707	spn_outzone_a0102_E00	翡绿５号街区	2427	3149		353-0+18+20++++夜
708	spn_outzone_a0102_E01	翡绿５号街区	2485	3018		353-0+18+20++++夜
709	spn_outzone_a0102_E50	翡绿５号街区	2608	3063		092-0+14+16++++夜
710	spn_outzone_a0102_E51	翡绿５号街区	2562	3256		092-0+14+16++++夜
711	spn_outzone_a0102_L00	翡绿５号街区	2692	3205		704-0+35+39+20+10+95++雨|705-0+40+41+20+10+5++雨
712	spn_outzone_a0102_101	翡绿４号街区	2212	3165		016-0+5+7
713	spn_outzone_a0102_104	翡绿４号街区	2309	3260		016-0+5+7
714	spn_outzone_a0102_105	翡绿４号街区	2310	3220		016-0+5+7
715	spn_outzone_a0102_107	翡绿４号街区	2378	3196		016-0+5+7
716	spn_outzone_a0102_200	翡绿４号街区	2244	2862		129-0+10+12
717	spn_outzone_a0102_201	翡绿４号街区	2179	2882		129-0+10+12
718	spn_outzone_a0102_203	翡绿４号街区	2202	2869		349-0+17+19
719	spn_outzone_a0102_204	翡绿４号街区	2259	2851		349-0+17+19
720	spn_outzone_a0102_302	翡绿４号街区	2123	3006		406-0+10+12
721	spn_outzone_a0102_303	翡绿４号街区	2138	2976		406-0+10+12
722	spn_outzone_a0102_304	翡绿４号街区	2101	2986		406-0+10+12
723	spn_outzone_a0102_352	翡绿４号街区	2255	3195		504-0+11+13
724	spn_outzone_a0102_353	翡绿４号街区	2234	3181		504-0+11+13
725	spn_outzone_a0102_461	翡绿４号街区	2418	2977		661-0+5+7
726	spn_outzone_a0102_462	翡绿４号街区	2350	2919		661-0+5+7
727	spn_outzone_a0102_463	翡绿４号街区	2334	2897		661-0+5+7
728	spn_outzone_a0102_501	翡绿４号街区	2101	3049		669-0+9+11
729	spn_outzone_a0102_502	翡绿４号街区	2123	3054		669-0+9+11
730	spn_outzone_a0102_B02	翡绿４号街区	2208	3054		659-0+11+13
731	spn_outzone_a0102_B03	翡绿４号街区	2231	3069		659-0+11+13
732	spn_outzone_a0102_B04	翡绿４号街区	2232	3041		659-0+11+13
733	spn_outzone_a0102_B05	翡绿４号街区	2254	3057		659-0+11+13
734	spn_outzone_a0102_B51	翡绿４号街区	2243	2934		662-0+17+19
735	spn_outzone_a0102_C00	翡绿４号街区	2198	2954		663-0+35+37
736	spn_outzone_a0102_G00	翡绿４号街区	2215	2991		280-0+10+12+20+10
737	spn_outzone_a0102_L04	翡绿４号街区	2208	2842		704-0+35+39+20+10+95++雨|705-0+40+41+20+10+5++雨
738	spn_outzone_a0102_151	翡绿９号街区	2415	3673		069-0+9+11
739	spn_outzone_a0102_202	翡绿９号街区	2285	3452		129-0+10+12
740	spn_outzone_a0102_250	翡绿９号街区	2326	3605		167-0+10+12
741	spn_outzone_a0102_300	翡绿９号街区	2210	3689		406-0+10+12
742	spn_outzone_a0102_301	翡绿９号街区	2226	3687		406-0+10+12
743	spn_outzone_a0102_350	翡绿９号街区	2364	3624		504-0+11+13
744	spn_outzone_a0102_354	翡绿９号街区	2359	3619		504-0+11+13
745	spn_outzone_a0102_401	翡绿９号街区	2232	3641		568-0+11+13
746	spn_outzone_a0102_402	翡绿９号街区	2404	3562		568-0+11+13
747	spn_outzone_a0102_454	翡绿９号街区	2180	3524		661-0+5+7
748	spn_outzone_a0102_455	翡绿９号街区	2184	3529		661-0+5+7
749	spn_outzone_a0102_459	翡绿９号街区	2411	3611		661-0+5+7
750	spn_outzone_a0102_702	翡绿９号街区	2150	3630		014-0+7+9
751	spn_outzone_a0102_703	翡绿９号街区	2147	3628		014-0+7+9
752	spn_outzone_a0102_704	翡绿９号街区	2147	3625		014-0+7+9
753	spn_outzone_a0102_705	翡绿９号街区	2153	3628		014-0+7+9
754	spn_outzone_a0102_706	翡绿９号街区	2153	3625		014-0+7+9
755	spn_outzone_a0102_750	翡绿９号街区	2309	3328		015-0+10+12
756	spn_outzone_a0102_950	翡绿９号街区	2142	3356		664-6+5+7
757	spn_outzone_a0102_951	翡绿９号街区	2107	3392		664-6+5+7
758	spn_outzone_a0102_A00	翡绿９号街区	2143	3363		665-6+9+11
759	spn_outzone_a0102_J00	翡绿９号街区	2297	3549		133-0+14+16++++日+晴
760	spn_outzone_a0102_J50	翡绿９号街区	2317	3681		303-0+18+20+++50+夜|092-0+14+16+++50+夜
761	spn_outzone_a0102_L02	翡绿９号街区	2230	3449		704-0+35+39+20+10+95++雨|705-0+40+41+20+10+5++雨
762	spn_outzone_a0102_L03	翡绿９号街区	2123	3366		704-0+35+39+20+10+95++雨|705-0+40+41+20+10+5++雨
763	spn_outzone_a0102_L50	翡绿９号街区	2114	3606		701-0+21+23+20+10+10|016-0+5+7+++90
764	spn_outzone_a0102_P00	翡绿９号街区	2347	3466		333-0+15+17+++10++晴|661-0+5+7+++90++晴
765	spn_outzone_a0102_R50	翡绿９号街区	2102	3565		427-0+15+17
766	spn_outzone_a0102_460	翡绿大道	2333	2437		661-0+5+7
767	spn_outzone_a0102_467	翡绿大道	2293	2383		661-0+5+7
768	spn_outzone_a0102_503	翡绿大道	2387	2526		669-1+9+11
769	spn_outzone_a0102_504	翡绿大道	2334	2437		669-1+9+11
770	spn_outzone_a0102_505	翡绿大道	2351	2467		669-0+9+11
771	spn_a0101_w01_v01_011	１７号野生特区	3075	3334		660-0+44+46+5+10+90|650-0+20+25+5+10+10
772	spn_a0101_w01_v01_012	１７号野生特区	3129	3357		660-0+44+46+5+10+90|650-0+20+25+5+10+10
773	spn_a0101_w01_v01_021	１７号野生特区	3123	3318		660-0+44+46+5+10+90|650-0+20+25+5+10+10
774	spn_a0101_w01_v01_041	１７号野生特区	3209	3123	1	668-0+46+47+100+10++日
775	spn_a0101_w01_v01_046	１７号野生特区	3209	3123	1	668-0+46+47+100+10++夜
776	spn_a0101_w01_v01_051	１７号野生特区	3209	3123		668-0+44+47+5+10++日
777	spn_a0101_w01_v01_056	１７号野生特区	3209	3123		668-0+44+47+5+10++夜
778	spn_a0101_w01_v01_081	１７号野生特区	3148	3187	1	303-0+46+47+100+10
779	spn_a0101_w01_v01_101	１７号野生特区	3215	3124		227-0+45+46+5+10
780	spn_a0101_w01_v01_121	１７号野生特区	3089	3126		608-0+45+46+5+10++夜
781	spn_a0101_w01_v01_122	１７号野生特区	3131	3138		608-0+45+46+5+10++夜
782	spn_a0101_w01_v01_131	１７号野生特区	3089	3126		707-0+44+46+5+10++日
783	spn_a0101_w01_v01_132	１７号野生特区	3134	3138		707-0+44+46+5+10++日
784	spn_a0102_w01_v01_001	１号野生特区	2675	3810		659-0+3+4+5+12
785	spn_a0102_w01_v01_001_tutorial	１号野生特区	2675	3810		659-0+4+4
786	spn_a0102_w01_v01_002	１号野生特区	2454	3780		659-0+3+4+5+12
787	spn_a0102_w01_v01_011	１号野生特区	2733	3788		661-0+3+4+5+12
788	spn_a0102_w01_v01_011_tutorial	１号野生特区	2733	3788		661-0+4+4
789	spn_a0102_w01_v01_012	１号野生特区	2483	3859		661-0+3+4+5+12
790	spn_a0102_w01_v01_013	１号野生特区	2453	3748		661-0+3+4+5+12
791	spn_a0102_w01_v01_021	１号野生特区	2370	3847		179-0+3+5+5+12
792	spn_a0102_w01_v01_022	１号野生特区	2346	3860		179-0+3+5+5+12
793	spn_a0102_w01_v01_031	１号野生特区	2210	3767		016-0+3+5+5+12
794	spn_a0102_w01_v01_032	１号野生特区	2385	3766		016-0+3+5+5+12
795	spn_a0102_w01_v01_041	１号野生特区	2527	3806		664-6+3+4+5+12
796	spn_a0102_w01_v01_042	１号野生特区	2516	3842		664-6+3+4+5+12
797	spn_a0102_w01_v01_051	１号野生特区	2432	3806		013-0+3+4+5+12
798	spn_a0102_w01_v01_052	１号野生特区	2344	3760		013-0+3+4+5+12
799	spn_a0102_w01_v01_101	１号野生特区	2183	3830		172-0+4+5+5+12
800	spn_a0102_w01_v01_111	１号野生特区	2120	3827	1	016-0+2+4+100+22
801	spn_a0102_w01_v01_Qst074	１号野生特区	2390	3774		179-0+11+11
802	spn_a0103_w01_v01_001	２号野生特区	2595	2554		406-0+5+6+5+12+50|504-0+5+7+5+12+50
803	spn_a0103_w01_v01_002	２号野生特区	2425	2627		406-0+5+6+5+12
804	spn_a0103_w01_v01_003	２号野生特区	2495	2913		406-0+5+6+5+12
805	spn_a0103_w01_v01_011	２号野生特区	2517	2846		129-0+5+7+5+12
806	spn_a0103_w01_v01_012	２号野生特区	2619	2653		129-0+5+7+5+12
807	spn_a0103_w01_v01_013	２号野生特区	2552	2860		129-0+5+7+5+12
808	spn_a0103_w01_v01_014	２号野生特区	2655	2665		129-0+5+7+5+12
809	spn_a0103_w01_v01_021	２号野生特区	2546	2744		504-0+5+7+5+12
810	spn_a0103_w01_v01_022	２号野生特区	2743	2675		504-0+5+7+5+12+50|688-0+5+7+5+12+50
811	spn_a0103_w01_v01_023	２号野生特区	2394	2835		504-0+5+7+5+12+50|688-0+5+7+5+12+50
812	spn_a0103_w01_v01_031	２号野生特区	2606	2770		688-0+6+8+5+12
813	spn_a0103_w01_v01_061	２号野生特区	2567	2595		129-0+5+7+5+12++日
814	spn_a0103_w01_v01_062	２号野生特区	2452	2833		129-0+5+7+5+12++日
815	spn_a0103_w01_v01_063	２号野生特区	2426	2755		129-0+5+7+5+12++日
816	spn_a0103_w01_v01_064	２号野生特区	2482	2627		129-0+5+7+5+12++日
817	spn_a0103_w01_v01_065	２号野生特区	2675	2846		129-0+5+7+5+12++日
818	spn_a0103_w01_v01_066	２号野生特区	2701	2761		129-0+5+7+5+12++日
819	spn_a0103_w01_v01_071	２号野生特区	2567	2595		120-0+5+7+5+12++夜
820	spn_a0103_w01_v01_072	２号野生特区	2452	2833		120-0+5+7+5+12++夜
821	spn_a0103_w01_v01_073	２号野生特区	2426	2755		120-0+5+7+5+12+50+夜|129-0+5+7+5+12+50+夜
822	spn_a0103_w01_v01_074	２号野生特区	2482	2627		120-0+5+7+5+12+50+夜|129-0+5+7+5+12+50+夜
823	spn_a0103_w01_v01_075	２号野生特区	2675	2846		120-0+5+7+5+12+50+夜|129-0+5+7+5+12+50+夜
824	spn_a0103_w01_v01_076	２号野生特区	2701	2761		120-0+5+7+5+12+50+夜|129-0+5+7+5+12+50+夜
825	spn_a0103_w01_v01_081	２号野生特区	2708	2858	1	129-0+6+8+100+24++日
826	spn_a0103_w01_v01_091	２号野生特区	2708	2858	1	120-0+10+12+100+20++夜
827	spn_a0103_w01_v01_101	２号野生特区	2361	2714		014-0+7+8+5+12
828	spn_a0201_w01_v01_001	１２号野生特区	1681	3355	1	460-0+33+35+100+10
829	spn_a0201_w01_v01_011	１２号野生特区	1801	3349		361-0+32+34+5+10
830	spn_a0201_w01_v01_012	１２号野生特区	1855	3388		361-0+32+34+5+10
831	spn_a0201_w01_v01_021	１２号野生特区	1712	3389		459-0+32+33+5+10
832	spn_a0201_w01_v01_022	１２号野生特区	1831	3468		459-0+32+33+5+10
833	spn_a0201_w01_v01_031	１２号野生特区	1809	3382		582-0+35+36+5+10
834	spn_a0201_w01_v01_032	１２号野生特区	1557	3556		582-0+35+36+5+10
835	spn_a0201_w01_v01_041	１２号野生特区	1780	3402		673-0+32+34+5+10
836	spn_a0201_w01_v01_042	１２号野生特区	1853	3268		673-0+32+34+5+10
837	spn_a0201_w01_v01_051	１２号野生特区	1739	3482		712-0+32+33+5+10
838	spn_a0201_w01_v01_052	１２号野生特区	1541	3519		712-0+32+33+5+10
839	spn_a0201_w01_v01_061	１２号野生特区	1590	3494	1	713-0+34+36+100+20
840	spn_a0201_w01_v01_071	１２号野生特区	1695	3278		066-0+32+33+5+10
841	spn_a0201_w01_v01_072	１２号野生特区	1716	3289		066-0+32+33+5+10
842	spn_a0201_w01_v01_081	１２号野生特区	1715	3266		067-0+34+35+5+10
843	spn_a0201_w01_v01_101	１２号野生特区	1801	3317		225-0+32+35+5+10
844	spn_a0201_w01_v01_102	１２号野生特区	1642	3343		225-0+32+35+5+10
845	spn_a0201_w01_v01_103	１２号野生特区	1870	3543		225-0+32+35+5+10
846	spn_a0202_w01_v01_001	１０号野生特区	633	2648		079-0+30+32+5+11+70|120-0+31+33+5+11+30
847	spn_a0202_w01_v01_002	１０号野生特区	739	2622		079-0+30+32+5+11+70|120-0+31+33+5+11+30
848	spn_a0202_w01_v01_003	１０号野生特区	748	2693		079-0+30+32+5+11+70|120-0+31+33+5+11+30
849	spn_a0202_w01_v01_011	１０号野生特区	526	2768		318-0+30+31+5+11
850	spn_a0202_w01_v01_012	１０号野生特区	683	2755		318-0+30+31+5+11
851	spn_a0202_w01_v01_021	１０号野生特区	814	2680		602-0+31+32+5+11
852	spn_a0202_w01_v01_031	１０号野生特区	490	2854		069-0+29+31+5+11
853	spn_a0202_w01_v01_032	１０号野生特区	415	2734		069-0+29+31+5+11
854	spn_a0202_w01_v01_033	１０号野生特区	520	2681		069-0+29+31+5+11
855	spn_a0202_w01_v01_051	１０号野生特区	704	2716	1	319-0+30+32+100+11
856	spn_a0202_w01_v01_061	１０号野生特区	672	2572		505-0+30+32+5+11
857	spn_a0202_w01_v01_062	１０号野生特区	649	2593		505-0+30+32+5+11
858	spn_a0202_w01_v01_063	１０号野生特区	391	2690		505-0+30+32+5+11
859	spn_a0202_w01_v01_064	１０号野生特区	452	2683		505-0+30+32+5+11
860	spn_a0202_w01_v01_065	１０号野生特区	799	2669		505-0+30+32+5+11
861	spn_a0202_w01_v01_066	１０号野生特区	799	2637		505-0+30+32+5+11
862	spn_a0202_w01_v01_071	１０号野生特区	816	2691	1	505-0+30+32+100+11
863	spn_a0202_w01_v01_081	１０号野生特区	568	2833		024-0+31+33+5+11
864	spn_a0202_w01_v01_082	１０号野生特区	494	2907		024-0+31+33+5+11
865	spn_a0202_w01_v01_083	１０号野生特区	458	2899		024-0+31+33+5+11
866	spn_a0202_w01_v01_091	１０号野生特区	595	2713	1	024-0+31+33+100+19
867	spn_a0202_w01_v01_101	１０号野生特区	451	2795		079-0+30+32+5+11
868	spn_a0202_w01_v01_102	１０号野生特区	462	2831		079-0+30+32+5+11
869	spn_a0202_w02_v01_001	５号野生特区	1564	2275		016-0+11+13+5+12
870	spn_a0202_w02_v01_011	５号野生特区	1727	2351		016-0+11+13+5+12
871	spn_a0202_w02_v01_021	５号野生特区	1735	2491		016-0+11+13+5+12
872	spn_a0202_w02_v01_032	５号野生特区	1716	2666		017-0+18+20+5+12
873	spn_a0202_w02_v01_041	５号野生特区	1598	2336		063-0+12+14+5+12
874	spn_a0202_w02_v01_042	５号野生特区	1820	2697		063-0+12+14+5+12
875	spn_a0202_w02_v01_051	５号野生特区	1716	2299		069-0+11+13+5+12
876	spn_a0202_w02_v01_052	５号野生特区	1665	2484		069-0+11+13+5+12
877	spn_a0202_w02_v01_053	５号野生特区	1802	2456		069-0+11+13+5+12
878	spn_a0202_w02_v01_061	５号野生特区	1541	2481		069-0+11+13+5+12+50|659-0+11+13+5+12+50
879	spn_a0202_w02_v01_071	５号野生特区	1750	2411	1	069-0+12+13+100+12
880	spn_a0202_w02_v01_081	５号野生特区	1927	2417		309-0+16+19+5+12
881	spn_a0202_w02_v01_082	５号野生特区	1739	2657		309-0+16+19+5+12
882	spn_a0202_w02_v01_091	５号野生特区	1785	2631		543-0+14+15+5+12
883	spn_a0202_w02_v01_092	５号野生特区	1891	2478		543-0+14+15+5+12
884	spn_a0202_w02_v01_093	５号野生特区	1891	2562		543-0+14+15+5+12
885	spn_a0202_w02_v01_094	５号野生特区	1535	2451		543-0+14+15+5+12
886	spn_a0202_w02_v01_101	５号野生特区	1854	2562	1	544-0+15+16+100+12
887	spn_a0202_w02_v01_111	５号野生特区	1854	2437		017-0+18+20+5+12
888	spn_a0202_w02_v01_112	５号野生特区	1772	2582		017-0+18+20+5+12
889	spn_a0202_w02_v01_201	５号野生特区	1542	2501	1	475-0+70+70+100
890	spn_a0203_w01_v01_001	１６号野生特区	1518	2665		180-0+40+41+5+10
891	spn_a0203_w01_v01_002	１６号野生特区	1634	2758		180-0+40+41+5+10
892	spn_a0203_w01_v01_011	１６号野生特区	1583	2691	1	181-0+42+43+100+10
893	spn_a0203_w01_v01_021	１６号野生特区	1521	2730		308-0+40+42+5+10+85+日|671-3+42+43+5+10+10+日|671-4+42+43+5+10+5+日
894	spn_a0203_w01_v01_022	１６号野生特区	1567	2763		308-0+40+42+5+10+85+日|671-3+42+43+5+10+10+日|671-4+42+43+5+10+5+日
895	spn_a0203_w01_v01_031	１６号野生特区	1521	2730		121-0+41+43+5+10+10+夜|689-0+41+43+5+10+90+夜
896	spn_a0203_w01_v01_032	１６号野生特区	1567	2763		121-0+41+43+5+10+10+夜|689-0+41+43+5+10+90+夜
897	spn_a0203_w01_v01_041	１６号野生特区	1494	2816		656-0+20+25+5+10
898	spn_a0203_w01_v01_051	１６号野生特区	1413	2735		870-0+41+42+5+10
899	spn_a0203_w01_v01_052	１６号野生特区	1604	2824		870-0+41+42+5+10
900	spn_a0203_w01_v01_053	１６号野生特区	1381	2793		870-0+41+42+5+10
901	spn_a0203_w01_v01_054	１６号野生特区	1388	2861		870-0+41+42+5+10
902	spn_a0203_w01_v01_055	１６号野生特区	1485	2932		870-0+41+42+5+10
903	spn_a0203_w01_v01_056	１６号野生特区	1553	2910		870-0+41+42+5+10
904	spn_a0301_w01_v01_011	１４号野生特区	332	1823		530-0+38+39+5+10
905	spn_a0301_w01_v01_021	１４号野生特区	332	1823	1	530-0+38+39+100+10
906	spn_a0301_w01_v01_031	１４号野生特区	388	1706		587-0+36+37+5+10
907	spn_a0301_w01_v01_032	１４号野生特区	344	1811		587-0+36+37+5+10
908	spn_a0301_w01_v01_041	１４号野生特区	344	1684		304-0+28+30+5+10+65|305-0+38+39+5+10+35
909	spn_a0301_w01_v01_042	１４号野生特区	444	1730		304-0+28+30+5+10+65|305-0+38+39+5+10+35
910	spn_a0301_w01_v01_043	１４号野生特区	479	1741		304-0+28+30+5+10+65|305-0+38+39+5+10+35
911	spn_a0301_w01_v01_044	１４号野生特区	303	1607		304-0+28+30+5+10+65|305-0+38+39+5+10+35
912	spn_a0301_w01_v01_045	１４号野生特区	402	1708		304-0+28+30+5+10+65|305-0+38+39+5+10+35
913	spn_a0301_w01_v01_051	１４号野生特区	411	1860		529-0+28+30+5+10+70|095-0+37+39+5+10+30
914	spn_a0301_w01_v01_052	１４号野生特区	250	1807		529-0+28+30+5+10+70|095-0+37+39+5+10+30
